ID,Ch_name,En_name
502,韩国水晶梨,Korean Sweet Pear
503,韩国靓香瓜,Korean Melon
511,基拿苹果本地,Bc Gala Apple
522,基拿苹果美国,Us Gala Apple
513,红苹果,Red Delicious Apple
520,爱妃苹果,Envy Apple
523,富士苹果(大),Chinese Fuji Apple
524,富士苹果(小),Fuji Apple
525,宝玉苹果,Ambrosia Apple
527,富士苹果,US Fuji Apple
528,玫瑰苹果,Pasific Rose Apple
531,青苹果,Granny Smith Apple
532,黄苹果,Golden Del Apple
534,蜜脆苹果,Honeycrisp Apple
535,甜心苹果,Sweetie Apple
541,香蕉,Banana
542,芭蕉,Burro
543,皇帝香蕉,Baby Banana
544,粉蕉,Thai Banana
551,车厘子,Cherry
554,黄金车厘子,Rainier Cherry
561,有核红提子,Red Grape Seeded
562,无核红提子,Red Grape Seedless
563,珍珠提子,Green Grape Seeded
564,无核绿提子,Green Grape Seedless
566,无核黑提子,Black Grape Seeded
568,无核兰提子,Coronation Grape Seedless
571,荔枝(盒装),Lychee
572,荔枝,Lychee
582,甜桔,Clementaine Mandarin
585,摩洛哥甜桔,Morocco Clementines Mandarin
587,芦柑,Lo Kan Mandarin
589,巴基斯坦柑,Pakistan Mandarin
591,墨西哥芒果,Mexico Mango
592,苹果芒果,Apple Mango
593,吕宋芒果,Ataulfo Mango
594,猪腰芒果,Kidney Mango
597,秘鲁芒果,Peru Mango
600,蜜瓜,Honey Dew
602,哈密瓜,Hami Melon
609,蟠油桃,Donut Nectarine
611,白油桃,White Nectarine
614,白肉桃,White Peach
620,加州甜橙,California Orange
623,加州甜橙-Victor,Victor Orange
625,新奇士甜橙,Sunkist Orange
627,红肉甜橙,Red Orange
631,蓝岛甜橙,Blue Jay Orange
632,细橙,Small Orange
651,大象木瓜,Elephant Papaya
652,夏威夷木瓜,Hawaii Papaya
652A,树上熟木瓜,Tree Ripened Hawaii Papaya
660,蜜沙(新高)梨,Singo Pears
662,安琪梨,Anjou Pear
663,巴律啤梨,Barlette Pear
665,天津鸭梨,Chinese Pear(Ya-Li)
666,波斯梨,Bosc Pear
667,水晶梨,Asian Pear
668,韩国(新高)梨,Korean singo Pear
670,新疆香梨,XinJian Pear



