ID,Ch_name,En_name
523,富士苹果,Fuji Apple
541,香蕉,Banana
551,红车厘子,Cherry
561,有核红葡萄,Red Globe Grape
564,无核绿葡萄,Green Seedless Grape
571,荔枝,Lychee
591-597,芒果,Mango
600,蜜瓜,Honey Dew Melon
614,白肉水蜜桃,White Nectarine
625,新奇士橙,Sunkit Orange
631,蓝岛甜橙,Blue Jay Orange 
652,夏威夷木瓜,Hawaiian Papaya
663,巴律啤梨,Barlette Pear
670,新疆香梨,Xin jian Pear
672,富有柿,Fu Yu Persimmon
686,黑李子,Black Plum
685,红李子,Red Plum
690,手榴弹,Dinosaur Plum
702,大西瓜,Watermelon
901,杏子,Apricot
902,牛油果,Avocado
903,香瓜,Cantaloupe
904,椰青,Young COCOnut
912,奇异果,Kiwi Fruit
914,柠檬,Lemon
681,西梅,Prune Plum
925,杨桃,Star Fruit
927,士多啤梨,Strawberry
16,油菜，Yu-Choy 
12,芥阑,Gai-Lan
22,奶油白菜,Baby Bok Choy
24,珍珠白菜苗,Dwart Bok Choy Miu
27,上海白菜,Shanghai Bok choy
32,芥菜仔,Baby Gai Choy
42,茼蒿菜,Tong ho Choy
45,菠菜,Spinach
47,西洋菜,Watercress
50,豆苗,Pea Tip
51,香麦菜,A choy
72,唐生菜,Green Leave Lettuce
74,西生菜,Head Lettuce
75,短绍菜,Short Siu Choy
79,百家利,Broccoli
85,台湾高丽菜,Taiwan Cabbage
102,西芹,Celery
103,青葱,Green Onion
111,芦荀,Asparagus
121,红萝卜,Carrot
125,白萝卜,White Lo Bok
131,薯仔,Russet Potato
136,大洋葱,Jumbo Onion
141,姜,Ginger
146,甜心番薯,Sweet Potato
147,中国大芋头,China Taro
151,粉葛,Arrow Root
165,蒜头三个装,Garlic 3's Pack
179-190,彩色甜椒,Colored Sweet Pepper
191,番茄,Tomato
207,苦瓜,Foo Qua
221,甜豆,Snap Peas
241,蘑菇,Mushroom
244,金针菇,Enoki Mustroom 
252,芽菜,Bean Sprout
949,砂糖桔,Sugar Mandarin
950,蓝莓,Blueberry
665,鸭嘴梨,Ya Li Pear
587,芦柑,Chinese Mandarin
